"Etunimi","Lukumäärä"
"Jonathan",2 494
"Marcus",2 491
"Mathias",2 487
"Klaus",2 466
"Viljam",2 464
"Patrick",2 454
"Jesper",2 433
"Eerikki",2 431
"Waltteri",2 421
"Terho",2 410
"Lennart",2 387
"Urpo",2 387
"Sven",2 371
"Juha-Matti",2 336
"Aapeli",2 323
"Ukko",2 293
"Kaapo",2 286
"Olli-Pekka",2 278
"Kenneth",2 273
"Ossian",2 246
"Justus",2 238
"Mattias",2 222
"Evert",2 205
"Kaleva",2 203
"Bengt",2 191
"Tino",2 137
"Reima",2 136
"Alarik",2 125
"Antton",2 107
"Felix",2 097
"Stig",2 096
"Teijo",2 091
"Luca",2 069
"Mats",2 066
"Jooa",2 054
"David",2 025
"Rolf",2 001
"Tobias",1 999
"Eric",1 989
"Lari",1 988
"Einar",1 985
"Elmo",1 982
"Taavi",1 950
"Manu",1 923
"Tommy",1 922
"Anttoni",1 919
"Eemi",1 918
"Petter",1 906
"Asser",1 881
"Leonard",1 844
"Kurt",1 828
"Per",1 822
"Taavetti",1 819
"Aleksis",1 818
"Adam",1 800
"Karri",1 796
"Håkan",1 777
"Ahmed",1 767
"Milo",1 757
"Simon",1 729
"Verner",1 727
"Ari-Pekka",1 718
"Valter",1 713
"Tenho",1 704
"Björn",1 702
"Erno",1 697
"Touko",1 691
"Roger",1 686
"Bo",1 667
"Jonatan",1 666
"Gustaf",1 657
"Valentin",1 653
"Jalo",1 637
"Vertti",1 637
"Nikolas",1 623
"Ralf",1 622
"Åke",1 620
"Jori",1 619
"Victor",1 618
"Kaarle",1 612
"Jerry",1 604
"Helge",1 586
"Kimi",1 584
"Casper",1 566
"Aslak",1 540
"Edward",1 535
"Kosti",1 509
"Christoffer",1 508
"Sulevi",1 495
"Dan",1 494
"Heino",1 476
"Linus",1 475
"Albin",1 474
"Elis",1 466
"Timi",1 462
"Tuure",1 460
"Bernhard",1 438
"Kevin",1 423
"Leon",1 410
"Rauli",1 407
"Jan-Erik",1 392
"Mico",1 391
"Birger",1 377
"Jiri",1 371
"Arthur",1 368
"Salomon",1 368
"Raine",1 360
"Alvari",1 352
"Iikka",1 337
"Ulf",1 321
"Jari-Pekka",1 300
"Noah",1 295
"Elia",1 289
"Petrus",1 288
"Harald",1 280
"Georg",1 274
"Nicolas",1 273
"Waldemar",1 255
"Kristoffer",1 254
"Isak",1 251
"Taito",1 243
"Börje",1 241
"Ilmo",1 239
"Auvo",1 238
"Bror",1 232
"Ingmar",1 222
"James",1 208
"Walter",1 204
"Iisak",1 190
"Arne",1 188
"Adrian",1 182
"Jarl",1 182
"Väinämö",1 182
"Filip",1 181
"Vincent",1 174
"Alf",1 167
"Christopher",1 157
"Sampsa",1 156
"Kasimir",1 151
"Vilhelmi",1 140
"Niki",1 139
"Rudolf",1 128
"Tiitus",1 127
"Iivo",1 126
"Jens",1 119
"Visa",1 112
"Valto",1 106
"Nicholas",1 088
"Uljas",1 068
"Elliot",1 058
"Erkka",1 056
"Altti",1 053
"Emanuel",1 046
"Niclas",1 037
"Joose",1 036
"Kjell",1 034
"Paulus",1 018
"Ben",1 015
"Teo",1 015
"André",1 010
"Jose",1 000
"Okko",989
"Ville-Veikko",989
"Adolf",988
"Aksel",988
"Aamos",980
"Liam",980
"Eevertti",974
"Marco",968
"Artur",958
"Konstantin",956
"Sasu",954
"Torsten",953
"Isto",947
"Oula",945
"Simeon",944
"Tor",944
"Ragnar",938
"Antonio",935
"Helmer",930
"Wiljami",929
"Hjalmar",927
"Venni",921
"Noa",920
"Viking",919
"Manuel",918
"Niila",916
"Jakob",914
"Maximilian",914
"Jooseppi",910
"Jon",905
"Elmer",902
"Cristian",901
"Bertel",894
"Aatto",893
"Holger",891
"Andrei",889
"Mio",889
"Ole",885
"Ivar",872
"Jimmy",867
"Benjam",866
"Valo",865
"Johnny",862
"Roy",861
"Aron",860
"Torsti",848
"Amos",847
"Sakarias",844
