"Etunimi","Lukumäärä"
"Alli",2 839
"Annina",2 819
"Jutta",2 794
"Maila",2 765
"Tyyne",2 763
"Stella",2 741
"Inari",2 715
"Vilja",2 672
"Edith",2 636
"Teresa",2 628
"Vanessa",2 620
"Fanni",2 616
"Anelma",2 614
"Kiia",2 612
"Netta",2 609
"Tea",2 607
"Sandra",2 600
"Aini",2 599
"Anne-Mari",2 596
"Ingrid",2 596
"Janita",2 583
"Piritta",2 539
"Selma",2 525
"Karita",2 484
"Mirka",2 476
"Regina",2 467
"Lydia",2 450
"Mona",2 445
"Daniela",2 429
"Nora",2 418
"Raakel",2 397
"Helka",2 386
"Isabel",2 372
"Inga",2 371
"Elma",2 364
"Senni",2 363
"Jade",2 346
"Ulrika",2 323
"Hertta",2 318
"Mimosa",2 308
"Louise",2 300
"Anna-Maria",2 297
"Virve",2 297
"Lilian",2 288
"Ulla-Maija",2 288
"Melissa",2 264
"Saila",2 253
"Lilli",2 252
"Anastasia",2 232
"Aija",2 210
"Eine",2 199
"Margaretha",2 192
"Unelma",2 191
"Lempi",2 185
"Annele",2 184
"Gunilla",2 179
"Aliina",2 161
"Wilma",2 114
"Elsi",2 106
"Heta",2 087
"Christine",2 077
"Frida",2 073
"Vera",2 062
"Rita",2 060
"Carolina",2 052
"Hanne",2 049
"Sofie",2 048
"Liina",2 026
"Adalmiina",2 017
"Rebekka",2 005
"Erica",2 004
"Melina",2 002
"Minja",1 987
"Taija",1 981
"Amelia",1 978
"Tuire",1 975
"Carola",1 958
"Varpu",1 956
"Lisa",1 954
"Iisa",1 937
"Mette",1 931
"Monika",1 915
"Maisa",1 905
"Seela",1 905
"Moona",1 899
"Reeta",1 897
"Carina",1 895
"Vivian",1 894
"Heljä",1 851
"Patricia",1 849
"Tilda",1 841
"Solveig",1 827
"Karolina",1 824
"Helli",1 823
"Salli",1 823
"Reija",1 819
"Eini",1 809
"Elin",1 806
"Mariia",1 800
"Charlotte",1 779
"Miina",1 775
"Susan",1 774
"Riitta-Liisa",1 769
"Janna",1 765
"Säde",1 763
"Helga",1 761
"Kaisla",1 761
"Mirella",1 754
"Lena",1 747
"Brita",1 735
"Viktoria",1 731
"Elle",1 725
"Henrietta",1 725
"Hellin",1 718
"Selina",1 705
"Inger",1 695
"Kia",1 680
"Taika",1 676
"Anna-Kaisa",1 668
"Aura",1 637
"Kerstin",1 635
"Marleena",1 635
"Miisa",1 632
"Harriet",1 629
"Jasmine",1 624
"Sointu",1 620
"Marja-Terttu",1 609
"Titta",1 604
"Pirita",1 578
"Kiira",1 571
"Ninni",1 562
"Helene",1 552
"Saima",1 551
"Jasmiina",1 544
"Valpuri",1 537
"Wilhelmina",1 520
"Stina",1 507
"Lyyli",1 493
"Raisa",1 489
"Rebecca",1 484
"Annette",1 483
"Veronica",1 468
"Ira",1 466
"Laina",1 463
"Elvira",1 450
"Saaga",1 449
"Leea",1 447
"Erin",1 441
"Ursula",1 441
"Helen",1 439
"Pilvi",1 437
"Greta",1 436
"Tuovi",1 426
"Else",1 425
"Eleonora",1 424
"Enna",1 421
"Martina",1 417
"Diana",1 414
"Kirsi-Marja",1 404
"Tia",1 403
"Justiina",1 395
"Ingegerd",1 394
"Mariitta",1 382
"Iines",1 380
"Kanerva",1 373
"Anna-Mari",1 370
"Mea",1 366
"Eleonoora",1 365
"Evelina",1 335
"Thi",1 335
"Marja-Riitta",1 334
"Benita",1 332
"Siru",1 327
"Siviä",1 324
"Yvonne",1 318
"Henni",1 312
"Agneta",1 308
"Lovisa",1 308
"Rakel",1 308
"Ava",1 305
"Terhikki",1 303
"Lumia",1 295
"Berit",1 288
"Hanna-Leena",1 284
"Beatrice",1 274
"Amelie",1 265
"Fredrika",1 263
"Hanna-Mari",1 259
"Barbro",1 257
"Inna",1 253
"Magdalena",1 249
"Elizabeth",1 243
"Neela",1 236
"Ann-Mari",1 235
"Juuli",1 234
"Henrika",1 233
"Anna-Leena",1 229
"Iita",1 225
"Anne-Maria",1 218
"Fiona",1 215
"Hely",1 213
"Janica",1 213
"Aida",1 203
"Malin",1 203
"Lina",1 198
"Luna",1 194
"Siv",1 188
"Madeleine",1 187
"Tina",1 186
"Mailis",1 184
"Alva",1 178
"Valma",1 176
"Mathilda",1 163
"Svetlana",1 162
"Ann",1 157
"Raila",1 156
"Liisi",1 152
"Kaarin",1 148
"Sohvi",1 146
"Adeliina",1 145
"Kirsikka",1 142
"Aurelia",1 139
"Vanamo",1 139
"Maj-Britt",1 135
"Valentina",1 135
"Caroline",1 131
"Anne-Marie",1 116
"Sarah",1 116
"Aamu",1 112
"Sarita",1 108
"Lilia",1 107
"Serafiina",1 105
"Miranda",1 103
"Felicia",1 097
"Auroora",1 093
"Peppiina",1 088
"Tinja",1 083
"Marjo-Riitta",1 082
"Mariella",1 080
"Vellamo",1 073
"Ebba",1 069
"Milka",1 069
"Nanna",1 067
"Livia",1 066
"Pirkko-Liisa",1 065
"Paulina",1 057
"Kira",1 052
"Riia",1 051
"Virva",1 050
"Michaela",1 048
"Milena",1 048
"Natalie",1 038
"Bertta",1 036
"Edit",1 029
"Sabina",1 028
"Mimmi",1 016
"Alissa",1 014
"Silvia",1 011
"Mohamed",1 007
"Tessa",1 001
"Sanna-Mari",989
"Ellinoora",984
"Ansa",983
"Elna",980
"Tatiana",978
"Sophie",967
"Teresia",967
"Annamari",966
"Janni",966
"Maija-Leena",965
"Verna",965
"Miriam",964
"Sofi",961
"Gunvor",958
"Lila",951
"Beata",950
"Ruut",949
"Ruth",947
"Isa",945
"Signe",945
"Vilhelmina",942
"Marlene",941
"Nadja",937
"Meea",929
"Ines",928
"Nicole",922
"Gun",920
"Gunnel",918
"Maarika",917
"Åsa",912
"Minka",909
"Elea",907
"Viena",907
"Margareetta",906
"Unna",904
"Juliaana",899
"Kerttuli",899
"Annu",898
"Nelly",894
"Veronika",886
"Jennifer",885
"Hanna-Kaisa",884
"Sophia",882
"Julianna",878
"Katrina",872
"Claudia",871
"Nuppu",869
"Emily",866
"Juliana",866
"Suoma",862
"Stiina",855
"Jatta",852
"Jessika",851
"Pipsa",851
"Maya",840
"Aina",839
"Agnes",838
"Annastiina",836
"Malla",835
"Emelie",833
"Margareeta",825
"Ina",824
"Minni",820
"Micaela",817
"Michelle",817
"Nita",815
"Lisbeth",814
"Maj-Lis",814
"Ilmi",811
"Alicia",808
"Angelica",808
"Melinda",808
"Minerva",804
"Bettina",803
"Ekaterina",803
"Bea",797
"Kielo",794
"Lemmikki",792
"Tatjana",789
"Annikka",788
"Rea",788
"Doris",780
"Lucia",780
"Mary",775
"Josefin",761
"Kastehelmi",758
"Eedit",756
"Gabriella",751
"Nathalie",741
"Adelina",740
"Synnöve",740
"Kukka",731
"Mirkka",731
"Soilikki",731
"Ida-Maria",730
"Kukka-Maaria",730
"Jasmina",729
"Maj",729
"Leona",725
"Andrea",723
"Serafia",720
